date,open,high,low,close,volume,average,barCount
2025-10-08 04:34:00-04:00,4.51,4.51,4.51,4.51,1900.0,4.51,1
2025-10-08 04:35:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:36:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:37:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:38:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:39:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:40:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:41:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:42:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:43:00-04:00,4.52,4.52,4.52,4.52,340.0,4.52,1
2025-10-08 04:44:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 04:45:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 04:46:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 04:47:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 04:48:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 04:49:00-04:00,4.51,4.51,4.51,4.51,791.0,4.51,4
2025-10-08 04:50:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:51:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:52:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:53:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:54:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:55:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:56:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:57:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 04:58:00-04:00,4.51,4.51,4.51,4.51,152.0,4.51,1
2025-10-08 04:59:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:00:00-04:00,4.51,4.51,4.51,4.51,200.0,4.51,2
2025-10-08 05:01:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:02:00-04:00,4.5,4.5,4.5,4.5,1015.0,4.5,9
2025-10-08 05:03:00-04:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2025-10-08 05:04:00-04:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2025-10-08 05:05:00-04:00,4.57,4.57,4.57,4.57,154.0,4.57,1
2025-10-08 05:06:00-04:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-10-08 05:07:00-04:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-10-08 05:08:00-04:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-10-08 05:09:00-04:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-10-08 05:10:00-04:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-10-08 05:11:00-04:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-10-08 05:12:00-04:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-10-08 05:13:00-04:00,4.54,4.55,4.53,4.53,1044.0,4.53958,8
2025-10-08 05:14:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 05:15:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 05:16:00-04:00,4.53,4.54,4.53,4.54,300.0,4.53667,3
2025-10-08 05:17:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 05:18:00-04:00,4.52,4.52,4.52,4.52,200.0,4.52,2
2025-10-08 05:19:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 05:20:00-04:00,4.5,4.51,4.49,4.51,3603.0,4.49742,9
2025-10-08 05:21:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:22:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:23:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:24:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:25:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:26:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:27:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:28:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:29:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:30:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:31:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:32:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:33:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:34:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:35:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:36:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:37:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:38:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:39:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:40:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:41:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:42:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
